Wassertank v1
Modus: Zwei-Punkt-Regler
timestamp [s]; pump rpm [1/min]; pump state; p1 [Pa]; p2 [Pa]; valve status; floatswitch status
  44.0;    0; OFF     ;     0;  2124; 0; 0                                                          
  45.0;    0; OFF     ;     0;  2122; 0; 0                                                          
  46.0;    0; OFF     ;     0;  2117; 0; 0                                                          
  47.0;    0; OFF     ;     0;  2115; 0; 0                                                          
  48.0;    0; OFF     ;     0;  2103; 0; 0                                                          
  49.0;    0; OFF     ;     0;  2094; 0; 0                                                          
  50.0;    0; OFF     ;     0;  2085; 0; 0                                                          
  51.0;    0; OFF     ;     0;  2065; 0; 0                                                          
  52.0;    0; OFF     ;     0;  2059; 0; 0                                                          
  53.0;    0; OFF     ;     0;  2042; 0; 0                                                          
  54.0;    0; OFF     ;     0;  2020; 0; 0                                                          
  55.0;    0; OFF     ;     0;  2019; 0; 0                                                          
  56.0;    0; STARTING;     0;  1997; 0; 0                                                          
  57.0;  445; STARTING;    26;  1979; 0; 0                                                          
  58.0;  895; STARTING;    66;  1973; 0; 0                                                          
  59.0; 1000; STARTING;   474;  2066; 0; 0                                                          
  60.0; 1000; RUNNING ;   474;  2246; 1; 0                                                          
  61.0; 1000; RUNNING ;   474;  2428; 1; 0                                                          
  62.0; 1000; RUNNING ;   474;  2604; 1; 0                                                          
  63.0; 1000; RUNNING ;   474;  2791; 1; 0                                                          
  64.0; 1000; RUNNING ;   474;  2976; 1; 0                                                          
  65.0; 1000; RUNNING ;   474;  3162; 1; 0                                                          
  66.0; 1000; RUNNING ;   474;  3351; 1; 0                                                          
  67.0; 1000; RUNNING ;   474;  3540; 1; 0                                                          
  68.0; 1000; RUNNING ;   474;  3726; 1; 0                                                          
  69.0; 1000; RUNNING ;   474;  3913; 1; 0                                                          
  70.0; 1000; RUNNING ;   474;  4094; 1; 0                                                          
  71.0; 1000; RUNNING ;   474;  4276; 1; 0                                                          
  72.0; 1000; RUNNING ;   474;  4457; 1; 0                                                          
  73.0; 1000; RUNNING ;   474;  4628; 1; 0                                                          
  74.0; 1000; RUNNING ;   474;  4812; 1; 0                                                          
  75.0; 1000; RUNNING ;   474;  4988; 1; 0                                                          
  76.0; 1000; RUNNING ;   474;  5157; 1; 0                                                          
  77.0; 1000; RUNNING ;   474;  5346; 1; 0                                                          
  78.0; 1000; RUNNING ;   474;  5515; 1; 0                                                          
  79.0; 1000; RUNNING ;   474;  5687; 1; 0                                                          
  80.0; 1000; RUNNING ;   474;  5872; 1; 0                                                          
  81.0; 1000; RUNNING ;   474;  6042; 1; 0                                                          
  82.0; 1000; RUNNING ;   474;  6221; 1; 0                                                          
  83.0; 1000; RUNNING ;   474;  6402; 1; 0                                                          
  84.0; 1000; RUNNING ;   474;  6577; 1; 0                                                          
  85.0; 1000; RUNNING ;   474;  6762; 1; 0                                                          
  86.0; 1000; RUNNING ;   474;  6947; 1; 0                                                          
  87.0; 1000; RUNNING ;   474;  7132; 1; 0                                                          
  88.0; 1000; RUNNING ;   474;  7321; 1; 0                                                          
  89.0; 1000; RUNNING ;   474;  7510; 1; 0                                                          
  90.0; 1000; RUNNING ;   474;  7697; 1; 0                                                          
  91.0; 1000; RUNNING ;   474;  7884; 1; 0                                                          
  92.0; 1000; RUNNING ;   474;  8064; 1; 0                                                          
  93.0; 1000; RUNNING ;   474;  8245; 1; 0                                                          
  94.0; 1000; RUNNING ;   474;  8427; 1; 0                                                          
  95.0; 1000; RUNNING ;   474;  8599; 1; 0                                                          
  96.0; 1000; RUNNING ;   474;  8782; 1; 0                                                          
  97.0; 1000; RUNNING ;   474;  8955; 1; 0                                                          
  98.0; 1000; RUNNING ;   474;  9124; 1; 0                                                          
  99.0; 1000; RUNNING ;   474;  9313; 1; 0                                                          
 100.0; 1000; RUNNING ;   474;  9484; 1; 0                                                          
 101.1; 1000; RUNNING ;   474;  9654; 1; 0                                                          
 102.1; 1000; RUNNING ;   474;  9840; 1; 0                                                          
 103.1; 1000; RUNNING ;   474; 10009; 1; 0                                                          
 104.1; 1000; RUNNING ;   474; 10186; 1; 0                                                          
 105.1; 1000; RUNNING ;   474; 10368; 1; 0                                                          
 106.1; 1000; RUNNING ;   474; 10545; 1; 0                                                          
 107.1; 1000; RUNNING ;   474; 10731; 1; 0                                                          
 108.1; 1000; RUNNING ;   474; 10915; 1; 0                                                          
 109.1; 1000; RUNNING ;   474; 11100; 1; 0                                                          
 110.1; 1000; RUNNING ;   474; 11291; 1; 0                                                          
 111.1; 1000; RUNNING ;   474; 11479; 1; 0                                                          
 112.1; 1000; RUNNING ;   474; 11666; 1; 0                                                          
 113.1; 1000; RUNNING ;   474; 11856; 1; 0                                                          
 114.1; 1000; RUNNING ;   474; 12034; 1; 0                                                          
 115.1; 1000; RUNNING ;   474; 12219; 1; 0                                                          
 116.1; 1000; RUNNING ;   474; 12402; 1; 0                                                          
 117.1; 1000; RUNNING ;   474; 12574; 1; 0                                                          
 118.1; 1000; RUNNING ;   474; 12759; 1; 0                                                          
